STATE,zipcode,A18425
AL,0,2905.0
AL,0,27454.0
AL,0,56235.0
AL,0,60309.0
AL,0,292798.0
AL,0,714402.0
AL,35004,0.0
AL,35004,95.0
AL,35004,171.0
AL,35004,225.0
AL,35004,818.0
AL,35004,444.0
AL,35005,0.0
AL,35005,102.0
AL,35005,168.0
AL,35005,132.0
AL,35005,272.0
AL,35005,0.0
AL,35006,0.0
AL,35006,0.0
AL,35006,0.0
AL,35006,150.0
AL,35006,0.0
AL,35006,0.0
AL,35007,22.0
AL,35007,180.0
AL,35007,409.0
AL,35007,560.0
AL,35007,2086.0
AL,35007,1849.0
AL,35010,0.0
AL,35010,81.0
AL,35010,115.0
AL,35010,118.0
AL,35010,474.0
AL,35010,2124.0
AL,35014,0.0
AL,35014,41.0
AL,35014,109.0
AL,35014,0.0
AL,35014,408.0
AL,35014,0.0
AL,35016,0.0
AL,35016,47.0
AL,35016,60.0
AL,35016,142.0
AL,35016,695.0
AL,35016,980.0
AL,35019,0.0
AL,35019,0.0
AL,35019,0.0
AL,35019,128.0
AL,35019,0.0
AL,35019,0.0
AL,35020,17.0
AL,35020,202.0
AL,35020,267.0
AL,35020,156.0
AL,35020,278.0
AL,35020,0.0
AL,35022,26.0
AL,35022,318.0
AL,35022,973.0
AL,35022,1026.0
AL,35022,2819.0
AL,35022,1505.0
AL,35023,0.0
AL,35023,243.0
AL,35023,338.0
AL,35023,400.0
AL,35023,975.0
AL,35023,605.0
AL,35031,0.0
AL,35031,0.0
AL,35031,73.0
AL,35031,0.0
AL,35031,296.0
AL,35031,0.0
AL,35033,0.0
AL,35033,60.0
AL,35033,0.0
AL,35033,0.0
AL,35033,480.0
AL,35033,0.0
AL,35034,0.0
AL,35034,33.0
AL,35034,92.0
AL,35034,0.0
AL,35034,0.0
AL,35034,0.0
AL,35035,0.0
AL,35035,0.0
AL,35035,0.0
AL,35035,465.0
AL,35035,0.0
AL,35035,0.0
AL,35040,0.0
AL,35040,195.0
AL,35040,348.0
AL,35040,269.0
AL,35040,877.0
AL,35040,1285.0
AL,35042,0.0
AL,35042,0.0
AL,35042,124.0
AL,35042,0.0
AL,35042,296.0
AL,35042,0.0
AL,35043,0.0
AL,35043,98.0
AL,35043,213.0
AL,35043,393.0
AL,35043,2172.0
AL,35043,2629.0
AL,35044,0.0
AL,35044,45.0
AL,35044,83.0
AL,35044,93.0
AL,35044,247.0
AL,35044,273.0
AL,35045,0.0
AL,35045,39.0
AL,35045,115.0
AL,35045,89.0
AL,35045,515.0
AL,35045,625.0
AL,35046,0.0
AL,35046,0.0
AL,35046,86.0
AL,35046,0.0
AL,35046,215.0
AL,35046,328.0
AL,35049,0.0
AL,35049,0.0
AL,35049,0.0
AL,35049,0.0
AL,35049,358.0
AL,35049,0.0
AL,35051,0.0
AL,35051,57.0
AL,35051,92.0
AL,35051,123.0
AL,35051,596.0
AL,35051,1274.0
AL,35053,0.0
AL,35053,0.0
AL,35053,0.0
AL,35053,0.0
AL,35053,218.0
AL,35053,488.0
AL,35054,0.0
AL,35054,0.0
AL,35054,102.0
AL,35054,0.0
AL,35054,303.0
AL,35054,693.0
AL,35055,0.0
AL,35055,70.0
AL,35055,115.0
AL,35055,177.0
AL,35055,864.0
AL,35055,1623.0
