sold_date,status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size
2018-01-02,for_sale,450000.0,3.0,2.0,0.09,"15 William St, North Arlington, NJ, 07031",15 William St,North Arlington,New Jersey,7031.0,
2018-01-02,for_sale,234900.0,3.0,2.0,0.87,"185 Gilsum St, Keene, NH, 03431",185 Gilsum St,Keene,New Hampshire,3431.0,1752.0
2018-01-02,for_sale,234900.0,3.0,2.0,0.87,"185 Gilsum St, Keene, NH, 03431",185 Gilsum St,Keene,New Hampshire,3431.0,1752.0
2018-01-02,for_sale,1245000.0,1.0,1.0,,"57 Reade St Apt 5D, New York, NY, 10007",57 Reade St Apt 5D,New York,New York,10007.0,785.0
2018-01-02,for_sale,234900.0,3.0,2.0,0.87,"185 Gilsum St, Keene, NH, 03431",185 Gilsum St,Keene,New Hampshire,3431.0,1752.0
2018-01-02,for_sale,2850000.0,4.0,3.0,,"320 W 115th St Unit 1, New York, NY, 10026",320 W 115th St Unit 1,New York,New York,10026.0,1958.0
2018-01-02,for_sale,450000.0,3.0,2.0,0.09,"15 William St, North Arlington, NJ, 07031",15 William St,North Arlington,New Jersey,7031.0,
2018-01-02,for_sale,234900.0,3.0,2.0,0.87,"185 Gilsum St, Keene, NH, 03431",185 Gilsum St,Keene,New Hampshire,3431.0,1752.0
2018-01-02,for_sale,234900.0,3.0,2.0,0.87,"185 Gilsum St, Keene, NH, 03431",185 Gilsum St,Keene,New Hampshire,3431.0,1752.0
2018-01-02,for_sale,234900.0,3.0,2.0,0.87,"185 Gilsum St, Keene, NH, 03431",185 Gilsum St,Keene,New Hampshire,3431.0,1752.0
2018-01-02,for_sale,2850000.0,4.0,3.0,,"320 W 115th St Unit 1, New York, NY, 10026",320 W 115th St Unit 1,New York,New York,10026.0,1958.0
2018-01-02,for_sale,1789000.0,6.0,6.0,3.23,"2 Fawn Hill Dr, Harding Township, NJ, 07960",2 Fawn Hill Dr,Harding Township,New Jersey,7960.0,
2018-01-02,for_sale,599999.0,3.0,1.0,0.05,"3825 Bailey Ave, Bronx, NY, 10463",3825 Bailey Ave,Bronx,New York,10463.0,
2018-01-02,for_sale,450000.0,3.0,2.0,0.09,"15 William St, North Arlington, NJ, 07031",15 William St,North Arlington,New Jersey,7031.0,
2018-01-02,for_sale,2850000.0,4.0,3.0,,"320 W 115th St Unit 1, New York, NY, 10026",320 W 115th St Unit 1,New York,New York,10026.0,1958.0
2018-01-02,for_sale,450000.0,3.0,2.0,0.09,"15 William St, North Arlington, NJ, 07031",15 William St,North Arlington,New Jersey,7031.0,
2018-01-02,for_sale,1789000.0,6.0,6.0,3.23,"2 Fawn Hill Dr, Harding Township, NJ, 07960",2 Fawn Hill Dr,Harding Township,New Jersey,7960.0,
2018-01-02,for_sale,2850000.0,4.0,3.0,,"320 W 115th St Unit 1, New York, NY, 10026",320 W 115th St Unit 1,New York,New York,10026.0,1958.0
2018-01-02,for_sale,450000.0,3.0,2.0,0.09,"15 William St, North Arlington, NJ, 07031",15 William St,North Arlington,New Jersey,7031.0,
2018-01-02,for_sale,2225000.0,3.0,3.0,,"47 E 87th St Unit 6A, New York, NY, 10128",47 E 87th St Unit 6A,New York,New York,10128.0,1700.0
2018-01-02,for_sale,1950000.0,3.0,2.0,,"314 Eighth Ave Unit 2L, Brooklyn, NY, 11215",314 Eighth Ave Unit 2L,Brooklyn,New York,11215.0,
2018-01-02,for_sale,1245000.0,1.0,1.0,,"57 Reade St Apt 5D, New York, NY, 10007",57 Reade St Apt 5D,New York,New York,10007.0,785.0
2018-01-02,for_sale,450000.0,3.0,2.0,0.09,"15 William St, North Arlington, NJ, 07031",15 William St,North Arlington,New Jersey,7031.0,
2018-01-02,for_sale,2850000.0,4.0,3.0,,"320 W 115th St Unit 1, New York, NY, 10026",320 W 115th St Unit 1,New York,New York,10026.0,1958.0
2018-01-02,for_sale,450000.0,3.0,2.0,0.09,"15 William St, North Arlington, NJ, 07031",15 William St,North Arlington,New Jersey,7031.0,
2018-01-02,for_sale,450000.0,3.0,2.0,0.09,"15 William St, North Arlington, NJ, 07031",15 William St,North Arlington,New Jersey,7031.0,
2018-01-02,for_sale,3800000.0,3.0,2.0,0.04,"421 W 22nd St Apt 1, New York City, NY, 10011",421 W 22nd St Apt 1,New York City,New York,10011.0,1832.0
2018-01-02,for_sale,399000.0,3.0,3.0,0.34,"707 Wellesley Rd, Lanoka Harbor, NJ, 08734",707 Wellesley Rd,Lanoka Harbor,New Jersey,8734.0,
2018-01-02,for_sale,628000.0,2.0,4.0,1.03,"47 Meadow Wood Rd, Branford, CT, 06405",47 Meadow Wood Rd,Branford,Connecticut,6405.0,3334.0
2018-01-02,for_sale,2850000.0,4.0,3.0,,"320 W 115th St Unit 1, New York, NY, 10026",320 W 115th St Unit 1,New York,New York,10026.0,1958.0
2018-01-02,for_sale,450000.0,3.0,2.0,0.09,"15 William St, North Arlington, NJ, 07031",15 William St,North Arlington,New Jersey,7031.0,
2018-01-02,for_sale,2850000.0,4.0,3.0,,"320 W 115th St Unit 1, New York, NY, 10026",320 W 115th St Unit 1,New York,New York,10026.0,1958.0
2018-01-02,for_sale,2850000.0,4.0,3.0,,"320 W 115th St Unit 1, New York, NY, 10026",320 W 115th St Unit 1,New York,New York,10026.0,1958.0
2018-01-02,for_sale,450000.0,3.0,2.0,0.09,"15 William St, North Arlington, NJ, 07031",15 William St,North Arlington,New Jersey,7031.0,
2018-01-02,for_sale,2850000.0,4.0,3.0,,"320 W 115th St Unit 1, New York, NY, 10026",320 W 115th St Unit 1,New York,New York,10026.0,1958.0
2018-01-02,for_sale,234900.0,3.0,2.0,0.87,"185 Gilsum St, Keene, NH, 03431",185 Gilsum St,Keene,New Hampshire,3431.0,1752.0
2018-01-02,for_sale,234900.0,3.0,2.0,0.87,"185 Gilsum St, Keene, NH, 03431",185 Gilsum St,Keene,New Hampshire,3431.0,1752.0
2018-01-02,for_sale,234900.0,3.0,2.0,0.87,"185 Gilsum St, Keene, NH, 03431",185 Gilsum St,Keene,New Hampshire,3431.0,1752.0
2018-01-02,for_sale,450000.0,3.0,2.0,0.09,"15 William St, North Arlington, NJ, 07031",15 William St,North Arlington,New Jersey,7031.0,
2018-01-02,for_sale,234900.0,3.0,2.0,0.87,"185 Gilsum St, Keene, NH, 03431",185 Gilsum St,Keene,New Hampshire,3431.0,1752.0
2018-01-02,for_sale,450000.0,3.0,2.0,0.09,"15 William St, North Arlington, NJ, 07031",15 William St,North Arlington,New Jersey,7031.0,
2018-01-02,for_sale,234900.0,3.0,2.0,0.87,"185 Gilsum St, Keene, NH, 03431",185 Gilsum St,Keene,New Hampshire,3431.0,1752.0
2018-01-02,for_sale,2850000.0,4.0,3.0,,"320 W 115th St Unit 1, New York, NY, 10026",320 W 115th St Unit 1,New York,New York,10026.0,1958.0
2018-01-02,for_sale,234900.0,3.0,2.0,0.87,"185 Gilsum St, Keene, NH, 03431",185 Gilsum St,Keene,New Hampshire,3431.0,1752.0
2018-01-02,for_sale,234900.0,3.0,2.0,0.87,"185 Gilsum St, Keene, NH, 03431",185 Gilsum St,Keene,New Hampshire,3431.0,1752.0
2018-01-02,for_sale,2850000.0,4.0,3.0,,"320 W 115th St Unit 1, New York, NY, 10026",320 W 115th St Unit 1,New York,New York,10026.0,1958.0
2018-01-02,for_sale,3800000.0,3.0,2.0,0.04,"421 W 22nd St Apt 1, New York City, NY, 10011",421 W 22nd St Apt 1,New York City,New York,10011.0,1832.0
2018-01-02,for_sale,234900.0,3.0,2.0,0.87,"185 Gilsum St, Keene, NH, 03431",185 Gilsum St,Keene,New Hampshire,3431.0,1752.0
2018-01-02,for_sale,450000.0,3.0,2.0,0.09,"15 William St, North Arlington, NJ, 07031",15 William St,North Arlington,New Jersey,7031.0,
2018-01-02,for_sale,234900.0,3.0,2.0,0.87,"185 Gilsum St, Keene, NH, 03431",185 Gilsum St,Keene,New Hampshire,3431.0,1752.0
